gene,gene_synonym
PNKD,BRP17 DYT8 FKSG19 FPD1 KIPP1184 MR-1 MR-1S MR1 PDC PKND1 PNKD1 TAHCCP2PNKD metallo-beta-lactamase domain containing 
MPC2,BRP44 SLC54A2mitochondrial pyruvate carrier 2 
MPC1,BRP44L CGI-129 MPYCD SLC54A1mitochondrial pyruvate carrier 1 
PINK1,BRPK PARK6PTEN induced kinase 1 
ASXL3,BRPS KIAA1713ASXL transcriptional regulator 3 
NCAPH,BRRN1 CAP-H CAPH MCPH23non-SMC condensin I complex subunit H 
CYLD,BRSS CDMT CYLD1 CYLDI EAC MFT MFT1 SBS TEM USPL2CYLD lysine 63 deubiquitinase 
CELF5,BRUNOL-5 BRUNOL5 CELF-5CUGBP Elav-like family member 5 
CELF3,BRUNOL1 CAGH4 ERDA4 ETR-1 TNRC4CUGBP Elav-like family member 3 
CELF1,BRUNOL2 CUG-BP CUGBP CUGBP1 EDEN-BP NAB50 NAPOR hNab50CUGBP Elav-like family member 1 
CELF2,BRUNOL3 CELF-2 CUG-BP2 CUGBP2 ETR-3 ETR3 NAPORCUGBP Elav-like family member 2 
CELF4,BRUNOL4 CELF-4CUGBP Elav-like family member 4 
CELF6,BRUNOL6CUGBP Elav-like family member 6 
WASF3,Brush-1 SCAR3 WAVE3WASP family member 3 
PHLDA2,BRW1C BWR1C HLDA2 IPL TSSC3pleckstrin homology like domain family A member 2 
BRWD1-AS2,BRWD1-IT2 C21orf87 NCRNA00257BRWD1 antisense RNA 2 
PHIP,BRWD2 DCAF14 DIDOD WDR11 ndrppleckstrin homology domain interacting protein 
WDR11,BRWD2 DR11 HH14 SRI1 WDR15WD repeat domain 11 
ACTB,BRWS1 PS1TP5BP1actin beta 
CHIC1,BRXcysteine rich hydrophobic domain 1 
BLM,BS MGRISCE1 RECQ2 RECQL2 RECQL3BLM RecQ like helicase 
CAST,BS-17 PLACKcalpastatin 
RGPD5,BS-63 BS63 HEL161 RGP5RANBP2 like and GRIP domain containing 5 
SPAG8,BS-84 CILD28 CT142 HSD-1 SMP1 SPAG3 hSMP-1sperm associated antigen 8 
NUB1,BS4 NUB1L NYREN18negative regulator of ubiquitin like proteins 1 
MRTFA,BSAC MAL MKL MKL1 MRTF-Amyocardin related transcription factor A 
HOXA1,BSAS HOX1 HOX1Fhomeobox A1 
SLC12A2,BSC BSC2 NKCC1 PPP1R141solute carrier family 12 member 2 
SLC12A1,BSC1 NKCC2solute carrier family 12 member 1 
CAV1,BSCL3 CGL3 LCCNS MSTP085 PPH3 VIP21caveolin 1 
APMAP,BSCv C20orf3adipocyte plasma membrane associated protein 
IL6,BSF-2 BSF2 CDF HGF HSF IFN-beta-2 IFNB2 IL-6interleukin 6 
CLCF1,BSF-3 BSF3 CISS2 CLC NNT-1 NNT1 NR6cardiotrophin like cytokine factor 1 
TMEM59L,BSMAP C19orf4transmembrane protein 59 like 
BSN-DT,BSN-AS2BSN divergent transcript 
BNC2,BSN2basonuclin 2 
SMAD1,BSP-1 BSP1 JV4-1 JV41 MADH1 MADR1SMAD family member 1 
BSPH1,BSP1 ELSPBP2binder of sperm protein homolog 1 
SPTBN5,"BSPECV HUBSPECV HUSPECVspectrin beta, non-erythrocytic 5 "
MEG8,"Bsr Irm LINC00024 NCRNA00024 Rian SNHG23 SNHG24 lnc-MGCmaternally expressed 8, small nucleolar RNA host gene "
SEZ6L2,BSRPA PSK-1seizure related 6 homolog like 2 
SEZ6,BSRPCseizure related 6 homolog 
KLK6,Bssp Klk7 PRSS18 PRSS9 SP59 hK6kallikrein related peptidase 6 
PRSS12,BSSP-3 BSSP3 MRT1serine protease 12 
PRSS22,BSSP-4 SP001LA hBSSP-4serine protease 22 
PGAP1,Bst1 ISPD3024 MRT42 SPG67post-GPI attachment to proteins 1 
SYAP1,BSTA PRO3113synapse associated protein 1 
PNCK,BSTK3 CaMK1bpregnancy up-regulated nonubiquitous CaM kinase 
COL4A1,BSVD BSVD1 RATORcollagen type IV alpha 1 chain 
COL4A2,BSVD2 ICH POREN2collagen type IV alpha 2 chain 
COLGALT1,BSVD3 ColGalT 1 GLT25D1collagen beta(1-O)galactosyltransferase 1 
BSX,BSX1brain specific homeobox 
BTN1A1,BT BTN BTN1butyrophilin subfamily 1 member A1 
IGSF11,BT-IgSF CT119 CXADRL1 Igsf13 VSIG3immunoglobulin superfamily member 11 
BTN2A2,BT2.2 BTF2 BTN2.2butyrophilin subfamily 2 member A2 
BTN3A1,BT3.1 BTF5 BTN3.1 CD277butyrophilin subfamily 3 member A1 
BTN3A2,BT3.2 BTF4 BTN3.2 CD277butyrophilin subfamily 3 member A2 
SLX4,BTBD12 FANCP MUS312SLX4 structure-specific endonuclease subunit 
GMCL1,"BTBD13 GCL GCL1 SPATA29germ cell-less 1, spermatogenesis associated "
ZBTB44,BTBD15 HSPC063 ZNF851zinc finger and BTB domain containing 44 
BTBD17,BTBD17A LGALS3BPL TANGO10ABTB domain containing 17 
CCIN,BTBD20 KBTBD14calicin 
BACH2,BTBD25 IMD60BTB domain and CNC homolog 2 
IBTK,BTBD26 BTKIinhibitor of Bruton tyrosine kinase 
KCTD9,BTBD27potassium channel tetramerization domain containing 9 
KCTD10,BTBD28 MSTP028 ULRO61 hBACURD3potassium channel tetramerization domain containing 10 
LZTR1,BTBD29 LZTR-1 NS10 NS2 SWNTS2leucine zipper like transcription regulator 1 
SPOP,BTBD32 TEF2speckle type BTB/POZ protein 
SPOPL,BTBD33speckle type BTB/POZ protein like 
ZBTB46,BTBD4 BZEL RINZF ZNF340 dJ583P15.7 dJ583P15.8zinc finger and BTB domain containing 46 
KLHL28,BTBD5kelch like family member 28 
CD9,BTCC-1 DRAP-27 MIC3 MRP-1 TSPAN-29 TSPAN29CD9 molecule 
KIN,BTCD KIN17 Rts2Kin17 DNA and RNA binding protein 
NETO2,BTCL2 NEOT2neuropilin and tolloid like 2 
RPS23,BTDD MABAS MCINS PAMAS S23 uS12ribosomal protein S23 
SP8,BTDSp8 transcription factor 
KLF9,BTEB BTEB1Kruppel like factor 9 
KLF5,BTEB2 CKLF IKLFKruppel like factor 5 
KLF13,BTEB3 FKLF2 NSLP1 RFLAT-1 RFLAT1Kruppel like factor 13 
KLF16,BTEB4 DRRF NSLP2Kruppel like factor 16 
KLF14,BTEB5Kruppel like factor 14 
BCLAF1,BTF bK211L9.1BCL2 associated transcription factor 1 
GTF2H2,BTF2 BTF2P44 T-BTF2P44 TFIIH p44general transcription factor IIH subunit 2 
ERCC3,"BTF2 GTF2H RAD25 TFIIH TTD2 XPBERCC excision repair 3, TFIIH core complex helicase subunit "
GTF2H3,BTF2 P34 TFB4 TFIIHgeneral transcription factor IIH subunit 3 
GTF2H1,BTF2 P62 TFB1 TFIIHgeneral transcription factor IIH subunit 1 
BTN3A3,BTF3 BTN3.3butyrophilin subfamily 3 member A3 
BTF3P11,BTF3L1 HUMBTFB OCIF OPG TNFRSF11Bbasic transcription factor 3 pseudogene 11 
BTF3P12,BTF3L2 HUMBTFCbasic transcription factor 3 pseudogene 12 
BTF3P13,BTF3L3 HUMBTFDbasic transcription factor 3 pseudogene 13 
BTF3L4P2,BTF3L4Pbasic transcription factor 3 like 4 pseudogene 2 
GTF2F2,BTF4 RAP30 TF2F2 TFIIFgeneral transcription factor IIF subunit 2 
GTF2F1,BTF4 RAP74 TF2F1 TFIIFgeneral transcription factor IIF subunit 1 
COL6A3,BTHLM1 DYT27 UCMD1collagen type VI alpha 3 chain 
COL6A1,BTHLM1 OPLL UCHMD1collagen type VI alpha 1 chain 
COL6A2,BTHLM1 PP3610 UCMD1collagen type VI alpha 2 chain 
TAZ,BTHS CMD3A EFE EFE2 G4.5 LVNCX Taz1tafazzin 
TXK,BTKL PSCTK5 PTK4 RLK TKLTXK tyrosine kinase 
BTNL2,BTL-II BTN7 HSBLMHC1 SS2butyrophilin like 2 
BTLA,BTLA1 CD272B and T lymphocyte associated 
CHIC2,BTLcysteine rich hydrophobic domain 2 
CLN3,"BTN1 BTS JNCLCLN3 lysosomal/endosomal transmembrane protein, battenin "
SKINT1L,BTN12 SKINT1 SKINTL SKINTPSkint1 like (pseudogene) 
BTN2A3P,"BTN2.3 BTN2A3butyrophilin subfamily 2 member A3, pseudogene "
BTNL9,BTN3 BTN8 VDLS1900butyrophilin like 9 
BTNL10,BTN4 BUTR1butyrophilin like 10 
ERMAP,BTN5 PRO2801 RD SCerythroblast membrane associated protein (Scianna blood group) 
MOG,BTN6 BTNL11 MOGIG2 NRCLP7myelin oligodendrocyte glycoprotein 
BTNL3,BTN9.1 BTNLRbutyrophilin like 3 
BTNL8,BTN9.2butyrophilin like 8 
APC,BTPS2 DP2 DP2.5 DP3 GS PPP1R46APC regulator of WNT signaling pathway 
GPR148,BTR PGR6G protein-coupled receptor 148 
SLC4A11,BTR1 CDPD1 CHED CHED2 NABC1 dJ794I6.2solute carrier family 4 member 11 
FBXW11,BTRC2 BTRCP2 FBW1B FBXW1B Fbw11 HosF-box and WD repeat domain containing 11 
FBXW11P1,BTRC2P FBXW1BP FBXW1BP1F-box and WD repeat domain containing 11 pseudogene 1 
CASC3,BTZ MLN51CASC3 exon junction complex subunit 
BUB1,BUB1A BUB1L hBUB1BUB1 mitotic checkpoint serine/threonine kinase 
BUB1B,BUB1beta BUBR1 Bub1A MAD3L MVA1 SSK1 hBUBR1BUB1 mitotic checkpoint serine/threonine kinase B 
BUB3,BUB3L hBUB3BUB3 mitotic checkpoint protein 
ACSM1,BUCS1 MACS1acyl-CoA synthetase medium chain family member 1 
SRFBP1,BUD22 P49 Rlb1 STRAP p49/STRAPserum response factor binding protein 1 
TP53RK,BUD32 C20orf64 GAMOS4 Nori-2 Nori-2p PRPK dJ101A2TP53 regulating kinase 
TXNDC15,BUG C5orf14 UNQ335thioredoxin domain containing 15 
CFAP20,BUG22 C16orf80 EVORF GTL3 fSAP23cilia and flagella associated protein 20 
ZNF207,BuGZ hBuGZzinc finger protein 207 
COMMD3,BUP C10orf8COMM domain containing 3 
UPB1,BUP1beta-ureidopropionase 1 
SPINK6,"BUSI2 UNQ844serine peptidase inhibitor, Kazal type 6 "
ZBED5,Buster1zinc finger BED-type containing 5 
ZMYM6,Buster2 MYM ZBED7 ZNF198L4 ZNF258zinc finger MYM-type containing 6 
ZBED8,Buster3 C5orf54zinc finger BED-type containing 8 
ZBED9,Buster4 SCAND3 ZFP38-L ZNF305P2 ZNF452 dJ1186N24.3zinc finger BED-type containing 9 
TRBC1,BV05S1J2.2 TCRB TCRBC1T cell receptor beta constant 1 
TRBV4-1,BV07S1J2.7 TCRBV4S1 TCRBV7S1A1N2T TRBV41T cell receptor beta variable 4-1 
TRBV16,BV25S1J1.2 TCRB TCRBV16S1 TCRBV25S1 TCRBV25S1A2PTT cell receptor beta variable 16 (gene/pseudogene) 
PROK2,BV8 HH4 KAL4 MIT1 PK2prokineticin 2 
BLVRB,BVRB FLR HEL-S-10 SDR43U1biliverdin reductase B 
SLC52A3,BVVLS BVVLS1 C20orf54 RFT2 RFVT3 bA371L19.1 hRFT2solute carrier family 52 member 3 
SLC52A2,BVVLS2 D15Ertd747e GPCR41 GPR172A PAR1 RFT3 RFVT2 hRFT3solute carrier family 52 member 2 
CDKN1C,BWCR BWS KIP2 WBS p57 p57Kip2cyclin dependent kinase inhibitor 1C 
SMU1,BWD SMU-1 fSAP57SMU1 DNA replication regulator and spliceosomal factor 
FGQTL2,BWQTL1Fasting plasma glucose level QTL2 
FGQTL6,BWQTL3 PGQTL1Fasting plasma glucose level QTL 6 
SLC22A18,BWR1A BWSCR1A HET IMPT1 ITM ORCTL2 SLC22A1L TSSC5 p45-BWR1Asolute carrier family 22 member 18 
SLC22A18AS,BWR1B BWSCR1B ORCTL2S SLC22A1LS p27-BWR1Bsolute carrier family 22 member 18 antisense 
KCNQ1DN,BWRT HSA404617KCNQ1 downstream neighbor 
ZEBTR,BX111ZEB1 transcriptional regulator RNA 
SNW1,Bx42 FUN20 NCOA-62 PRPF45 Prp45 SKIIP SKIP SKIP1SNW domain containing 1 
RPF2,BXDC1 bA397G5.4ribosome production factor 2 homolog 
RPF2P1,BXDC1P C20orf53 RPF2P bA353C18.4ribosome production factor 2 homolog pseudogene 1 
PPAN-P2RY11,BXDC3 P2RY11 P2Y11 PPAN SSF1 Ssf-1PPAN-P2RY11 readthrough 
PPAN,BXDC3 SSF SSF-1 SSF1 SSF2peter pan homolog 
IMP4,BXDC4IMP U3 small nucleolar ribonucleoprotein 4 
RPF1,BXDC5ribosome production factor 1 homolog 
PGAM5,"BXLBV68PGAM family member 5, mitochondrial serine/threonine protein phosphatase "
FCRL5,BXMAS1 CD307 CD307e FCRH5 IRTA2 PRO820Fc receptor like 5 
GLYATL2,BXMAS2-10 GATF-Bglycine-N-acyltransferase like 2 
NR1I2,BXR ONR1 PAR PAR1 PAR2 PARq PRR PXR SAR SXRnuclear receptor subfamily 1 group I member 2 
CD160,BY55 NK1 NK28CD160 molecule 
DIDO1,BYE1 C20orf158 DATF-1 DATF1 DIDO2 DIDO3 DIO-1 DIO1 dJ885L7.8death inducer-obliterator 1 
TYRO3,BYK Dtk Etk-2 RSE Rek Sky TifTYRO3 protein tyrosine kinase 
BYSL,BYSTIN Enp1bystin like 
BZW1,BZAP45 Nbla10236basic leucine zipper and W2 domains 1 
TSPOAP1,BZRAP1 PBR-IP PRAX-1 PRAX1 RIM-BP1 RIMBP1TSPO associated protein 1 
TSPOAP1-AS1,"BZRAP1-AS1TSPOAP1, SUPT4H1 and RNF43 antisense RNA 1 "
TSPO2,BZRPL1translocator protein 2 
BZW1P2,BZW1L1basic leucine zipper and W2 domains 1 pseudogene 2 
CDK9,C-2k CDC2L4 CTK1 PITALRE TAKcyclin dependent kinase 9 
HRAS,"C-BAS/HAS C-H-RAS C-HA-RAS1 CTLO H-RASIDX HAMSV HRAS1 KRAS KRAS2 Ki-Ras RASH1 RASK2 c-K-ras c-Ki-ras p21rasHRas proto-oncogene, GTPase "
CXCR1,C-C C-C-CKR-1 CD128 CD181 CDw128a CKR-1 CMKAR1 IL8R1 IL8RA IL8RBAC-X-C motif chemokine receptor 1 
CBL,C-CBL CBL2 FRA11B NSLL RNF55Cbl proto-oncogene 
THRB,C-ERBA-2 C-ERBA-BETA ERBA2 GRTH NR1A2 PRTH THR1 THRB1 THRB2thyroid hormone receptor beta 
CHST6,C-GlcNAc6ST GST4-beta MCDC1 glcNAc6ST-5 gn6st-5 hCGn6STcarbohydrate sulfotransferase 6 
HES6,C-HAIRY1 HES-6 bHLHb41 bHLHc23hes family bHLH transcription factor 6 
KRAS,"C-K-RAS CFC2 K-RAS2A K-RAS2B K-RAS4A K-RAS4B K-Ras KI-RAS KRAS1 KRAS2 NS NS3 OES RALD RASK2 c-Ki-ras2KRAS proto-oncogene, GTPase "
KIT,"C-Kit CD117 MASTC PBT SCFRKIT proto-oncogene, receptor tyrosine kinase "
LMOD2,C-LMOD CLMODleiomodin 2 
MPL,"C-MPL CD110 MPLV THCYT2 THPOR TPORMPL proto-oncogene, thrombopoietin receptor "
CEP250,C-NAP1 CEP2 CNAP1 CRDHL2centrosomal protein 250 
REL,"C-RelREL proto-oncogene, NF-kB subunit "
SAA4,"C-SAA CSAAserum amyloid A4, constitutive "
CEBPA,C/EBP-alpha CEBPCCAAT enhancer binding protein alpha 
CEBPB,C/EBP-beta IL6DBP NF-IL6 TCF5CCAAT enhancer binding protein beta 
CEBPD,C/EBP-delta CELF CRP3 NF-IL6-betaCCAAT enhancer binding protein delta 
CEBPE,C/EBP-epsilon CRP1CCAAT enhancer binding protein epsilon 
HNRNPC,C1 C2 HNRNP HNRPC SNRPCheterogeneous nuclear ribonucleoprotein C 
PFDN4,C1 PFD4prefoldin subunit 4 
ARHGAP4,C1 RGC1 RhoGAP4 SrGAP4 p115Rho GTPase activating protein 4 
TRGC1,C1 TCRG TCRGC1T cell receptor gamma constant 1 
ERVK-1,c1_Aendogenous retrovirus group K member 1 
TNS2,C1-TEN C1TEN TENC1tensin 2 
C12orf57,C10 GRCC10chromosome 12 open reading frame 57 
SHFM3,C10DUPq24 DUP10q24 SHSF3Split-hand/foot malformation 3 
DEPP1,C10orf10 DEPP FIG FsegDEPP1 autophagy regulator 
NRG3-AS1,C10orf100 Em:AC010157.1NRG3 antisense RNA 1 
CATSPERE,C10orf101 C1orf101catsper channel auxiliary subunit epsilon 
LINC00595,C10orf101long intergenic non-protein coding RNA 595 
GLUD1P3,C10orf102 GLUDP3glutamate dehydrogenase 1 pseudogene 3 
DNAJC9-AS1,C10orf103 bA537A6.3DNAJC9 antisense RNA 1 
CDH23-AS1,C10orf106 NCRNA00223 bA327E2.3CDH23 antisense RNA 1 
CABCOCO1,C10orf107ciliary associated calcium binding coiled-coil 1 
PRR26,C10orf108proline rich 26 
ADARB2-AS1,C10orf109 NCRNA00168ADARB2 antisense RNA 1 
LRMDA,C10orf11 CDA017leucine rich melanocyte differentiation associated 
IDI2-AS1,C10orf110 HT009 IDI2-ASIDI2 antisense RNA 1 
RPP38-DT,C10orf111RPP38 divergent transcript 
MALRD1,C10orf112 DIET1 bA265G8.2MAM and LDL receptor class A domain containing 1 
MIR1915HG,C10orf114 CASC10 bA418C1.3MIR1915 host gene 
C10orf67,C10orf115 LINC01552chromosome 10 open reading frame 67 
CCDC186,C10orf118 CCCP-1 golgin104coiled-coil domain containing 186 
MCMBP,C10orf119 MCM-BPminichromosome maintenance complex binding protein 
LCOR,C10orf12 MLR2ligand dependent nuclear receptor corepressor 
NKX1-2,C10orf121 NKX-1.1 bB238F13.2NK1 homeobox 2 
TEX36,C10orf122 bA383C5.1testis expressed 36 
CFAP46,C10orf123 C10orf124 C10orf92 C10orf93 TTC40 bA288G11.4 bA288G11.5 bB137A17.2 bB137A17.3cilia and flagella associated protein 46 
FUOM,C10orf125 FUCU FucMfucose mutarotase 
TMEM72,C10orf127 KSP37transmembrane protein 72 
TMEM273,C10orf128transmembrane protein 273 
ACSM6,C10orf129 bA310E22.3acyl-CoA synthetase medium chain family member 6 
FGFBP3,C10orf13 FGF-BP3fibroblast growth factor binding protein 3 
CC2D2B,C10orf130 C10orf131coiled-coil and C2 domain containing 2B 
GOLGA7B,C10orf132 C10orf133 bA451M19.3 bA459F3.4golgin A7 family member B 
ENO4,C10orf134enolase 4 
TRIAP1P1,C10orf135 bA748L13.4TP53 regulated inhibitor of apoptosis 1 pseudogene 1 
LINC00619,C10orf136 bA168P8.1long intergenic non-protein coding RNA 619 
EDRF1,C10orf137erythroid differentiation regulatory factor 1 
EEF1AKMT2,C10orf138 Efm4 METTL10EEF1A lysine methyltransferase 2 
LINC00200,C10orf139 NCRNA00200long intergenic non-protein coding RNA 200 
JAKMIP3,C10orf14 C10orf39 Jamip3 NECC2 bA140A10.5Janus kinase and microtubule interacting protein 3 
SKIDA1,C10orf140 DLN-1SKI/DACH domain containing 1 
INSYN2A,C10orf141 FAM196A INSYN2inhibitory synaptic factor 2A 
TASOR2,C10orf18 FAM208B bA318E3.2transcription activation suppressor family member 2 
CHMP1B,C10orf2 C18-ORF2 C18orf2 CHMP1.5 Vps46-2 Vps46B hVps46-2charged multivesicular body protein 1B 
CCNYL2,C10orf21 CCNYL2P bA178A10.2cyclin Y like 2 (pseudogene) 
ADO,C10orf222-aminoethanethiol dioxygenase 
KNDC1,C10orf23 RASGEF2 Very-KIND bB439H18.3 v-KINDkinase non-catalytic C-lobe domain containing 1 
STOX1,C10orf24storkhead box 1 
WBP1L,C10orf26 OPA1L OPAL1WW domain binding protein 1 like 
TBATA,"C10orf27 SPATIALthymus, brain and testes associated "
R3HCC1L,C10orf28 GIDRP86 GIDRP88 PSORTR3H domain and coiled-coil containing 1 like 
USP54,C10orf29 bA137L10.3 bA137L10.4ubiquitin specific peptidase 54 
CEP55,C10orf3 CT111 MARCH URCC6centrosomal protein 55 
BEND7,C10orf30BEN domain containing 7 
CELF2-AS1,C10orf31CELF2 antisense RNA 1 
BORCS7-ASMT,C10orf32-AS3MT C10orf32-ASMTBORCS7-ASMT readthrough (NMD candidate) 
BORCS7,C10orf32BLOC-1 related complex subunit 7 
PYROXD2,C10orf33 FP3420 YUEFpyridine nucleotide-disulphide oxidoreductase domain 2 
CHCHD1,C10orf34 C2360 MRP-S37coiled-coil-helix-coiled-coil-helix domain containing 1 
FAM241B,C10orf35family with sequence similarity 241 member B 
SLC16A9,C10orf36 MCT9solute carrier family 16 member 9 
CEP57L1P1,C10orf37 C6orf182Pcentrosomal protein 57 like 1 pseudogene 1 
FRA10AC1,C10orf4 F26C11.1-like FRA10AFRA10A associated CGG repeat 1 
LINC01553,C10orf40long intergenic non-protein coding RNA 1553 
ZNF503-AS2,C10orf41 NCRNA00245ZNF503 antisense RNA 2 
MCU,C10orf42 CCDC109A HsMCUmitochondrial calcium uniporter 
ZNF32-AS3,C10orf44 ZNF32-OT1 bA402L1.3ZNF32 antisense RNA 3 
FAM107B,C10orf45 HITSfamily with sequence similarity 107 member B 
CACUL1,C10orf46 CAC1CDK2 associated cullin domain 1 
PROSER2,C10orf47proline and serine rich 2 
MKX,C10orf48 IFRX IRXL1mohawk homeobox 
UCMA,C10orf49 GRP GRP/UCMAupper zone of growth plate and cartilage matrix associated 
FAM238A,C10orf50 LINC00264 NCRNA00264 bA128B16.2family with sequence similarity 238 member A 
FAM238C,C10orf51 LINC00202 LINC00202-1 NCRNA00202 bB27G4.1family with sequence similarity 238 member C 
LINC00614,C10orf52long intergenic non-protein coding RNA 614 
ZCCHC24,C10orf56 Z3CXXC8zinc finger CCHC-type containing 24 
TMEM254,C10orf57 bA369J21.6transmembrane protein 254 
RNLS,"C10orf59 RENALASErenalase, FAD dependent amine oxidase "
CASC2,C10orf5cancer susceptibility 2 
SLF2,C10orf6 FAM178ASMC5-SMC6 complex localization factor 2 
SLC35G1,C10orf60 POST TMEM20solute carrier family 35 member G1 
TCTN3,C10orf61 JBTS18 OFD4 TECT3tectonic family member 3 
ENKUR,"C10orf63 CFAP106enkurin, TRPC channel interacting protein "
WDFY4,C10orf64WDFY family member 4 
HOGA1,C10orf65 DHDPS2 DHDPSL HP3 NPL24-hydroxy-2-oxoglutarate aldolase 1 
CUEDC2,C10orf66 bA18I14.5CUE domain containing 2 
ERLIN1,C10orf69 Erlin-1 KE04 KEO4 SPFH1 SPG62ER lipid raft associated 1 
CDC123,C10orf7 D123cell division cycle 123 
CISD1,C10orf70 MDS029 ZCD1 mitoNEETCDGSH iron sulfur domain 1 
VSTM4,C10orf72V-set and transmembrane domain containing 4 
FAM170B,C10orf73family with sequence similarity 170 member B 
REEP3,C10orf74 Yip2breceptor accessory protein 3 
OLMALINC,C10orf75 HI-LNC80 LINC00263 NCRNA00263 OLMALINCASoligodendrocyte maturation-associated long intergenic non-coding RNA 
ARMH3,C10orf76armadillo like helical domain containing 3 
CHTOP,C10orf77 C1orf77 FL-SRAG FOP SRAG SRAG-3 SRAG-5 pp7704chromatin target of PRMT1 
MFSD13A,C10orf77 TMEM180 bA18I14.8major facilitator superfamily domain containing 13A 
SFR1,C10orf78 MEI5 MEIR5 bA373N18.1SWI5 dependent homologous recombination repair protein 1 
CFAP43,C10orf79 SPGF19 WDR96 bA373N18.2cilia and flagella associated protein 43 
CFAP58,C10orf80 CCDC147 bA127L20.4 bA127L20.5 bA554P13.1cilia and flagella associated protein 58 
PLEKHS1,C10orf81 HEL185pleckstrin homology domain containing S1 
MORN4,C10orf83 UTA bA548K23.4 rtpMORN repeat containing 4 
FAM204A,C10orf84 bA319I23.1family with sequence similarity 204 member A 
LINC01561,C10orf85long intergenic non-protein coding RNA 1561 
NSMCE4A,"C10orf86 NS4EA NSE4ANSE4 homolog A, SMC5-SMC6 complex component "
BTBD16,C10orf87BTB domain containing 16 
PSTK,C10orf89phosphoseryl-tRNA kinase 
CCNY,C10orf9 CBCP1 CCNX CFP1cyclin Y 
SYCE1,C10orf94 CT76 POF12 SPGF15synaptonemal complex central element protein 1 
CCDC172,C10orf96coiled-coil domain containing 172 
MINDY3,C10orf97 CARP DERP5 FAM188A MST126 MSTP126 my042MINDY lysine 48 deubiquitinase 3 
NUDT9P1,C10orf98 bA56M3.1nudix hydrolase 9 pseudogene 1 
DEL10Q26,C10q26DEL TQDSChromosome 10q deletion syndrome 
POLR3K,C11 C11-RNP3 My010 RPC10 RPC11 RPC12.5RNA polymerase III subunit K 
GZMB,C11 CCPI CGL-1 CGL1 CSP-B CSPB CTLA1 CTSGL1 HLP SECTgranzyme B 
ERVK-20,c11_B envendogenous retrovirus group K member 20 
NPL,C112 C1orf13 NAL NPL1N-acetylneuraminate pyruvate lyase 
PRKRIP1,C114 KRBOX3PRKR interacting protein 1 
DEL11P13,"C11DELp13 WAGRWilms tumor, aniridia, genitourinary anomalies and mental retardation syndrome "
DEL11P13,"C11DELp13Chromosome 11p13 deletion syndrome, distal "
DEL11P15P14,C11DELp15p14Chromosome 11p15-p14 deletion syndrome 
OTDD,C11DELq13 DEL11q13Otodental dysplasia chromosome deletion syndrome 
SCA20,C11DUPq12 DUP11q12spinocerebellar ataxia 20 
GPR89P,C11H1.2-Lp SH120PG protein-coupled receptor 89 pseudogene 
TMEM258,C11orf10 Kud Kuduktransmembrane protein 258 
DAGLA,C11orf11 DAGL(ALPHA) DAGLALPHA NSDDRdiacylglycerol lipase alpha 
RASSF7,C11orf13 HRAS1 HRC1Ras association domain family member 7 
NRIP3,C11orf14 NY-SAR-105nuclear receptor interacting protein 3 
TMEM9B,C11orf15TMEM9 domain family member B 
TMEM9B-AS1,C11orf18TMEM9B antisense RNA 1 
IFT46,C11orf2 C11orf60 CFAP32intraflagellar transport 46 
CATSPERZ,C11orf20 TEX40catsper channel auxiliary subunit zeta 
PPP6R3,C11orf23 PP6R3 SAP190 SAPL SAPLa SAPS3protein phosphatase 6 regulatory subunit 3 
ANO3,C11orf25 DYT23 DYT24 GENX-3947 TMEM16Canoctamin 3 
UBTFL1,C11orf27 HMGPIupstream binding transcription factor like 1 
TRIM64,C11orf28 TRIM64Atripartite motif containing 64 
TRIM66,C11orf29 TIF1D TIF1DELTAtripartite motif containing 66 
EMC7,C11orf3 C15orf24 HT022 ORF1-FL1ER membrane protein complex subunit 7 
EMSY,"C11orf30 GL002EMSY transcriptional repressor, BRCA2 interacting "
SELENOH,C11orf31 C17orf10 SELHselenoprotein H 
SORL1,C11orf32 LR11 LRP9 SORLA SorLA-1 gp250sortilin related receptor 1 
NXPE4,C11orf33 FAM55Dneurexophilin and PC-esterase domain family member 4 
PLET1,C11orf34placenta expressed transcript 1 
LMNTD2,C11orf35lamin tail domain containing 2 
MRGPRG-AS1,C11orf36 HSD-40MRGPRG antisense RNA 1 
LINC00167,C11orf37 NCRNA00167long intergenic non-protein coding RNA 167 
PATE2,C11orf38 PATE-M UNQ3112prostate and testis expressed 2 
NTM-AS1,C11orf39NTM antisense RNA 1 
GPR137,C11orf4 GPR137A TM7SF1L1G protein-coupled receptor 137 
MRPL49,C11orf4 L49mt MRP-L49 NOF NOF1mitochondrial ribosomal protein L49 
KIAA1549L,C11orf41 C11orf69 G2KIAA1549 like 
IGF2,C11orf43 GRDF IGF-II PP9974insulin like growth factor 2 
DNHD1,C11orf47 CCDC35 DHCD1 DNHD1Ldynein heavy chain domain 1 
C11orf98,C11orf48chromosome 11 open reading frame 98 
LBHD1,C11orf48LBH domain containing 1 
ZNHIT2,C11orf5 FONzinc finger HIT-type containing 2 
HSPB2-C11orf52,C11orf52HSPB2-C11orf52 readthrough (NMD candidate) 
COMMD9,C11orf55 HSPC166 LINC00610COMM domain containing 9 
FAM160A2,C11orf56 FHIPfamily with sequence similarity 160 member A2 
NKAPD1,C11orf57NKAP domain containing 1 
